Cleanser for Normal Skin,120ml,29€,"Kevyesti vaahtoutuva puhdistusgeeli joka samanaikaisesti puhdistaa sekä kosteuttaa ihoa. Puhdistaa hellävaraisesti meikin, jopa vedenkestävän maskaran sekä aurinkovoiteen jäämät kuivattamatta ihoa. Raikas koostumus elvyttää ihoasi antioksidanttisella limettiöljyllä sekä hydrolysoidulla kauraproteiinilla. Ihosi tuntuu puhdistuksen jälkeen pehmeän kosteutetulta ja täydellisen puhtaalta. Soveltuu myös herkälle iholle"
Mineral Cream Cleanser,120ml,42€,"Savipohjainen ja vaahtoamaton puhdistusvoide joka vetää magneetin tavoin puoleensa epäpuhtauksia, samalla imeyttäen ihoosi merkittävästi lisää kosteutta. Mineraalipitoinen savi imee itseensä lian, öljyn, ilmansaasteet sekä aurinkosuojan jäämät, tehden ihohuokosistasi ylivoimaisen puhtaita. Hienojakoinen savi kuorii lempeästi ja aktivoi ihosolujen uudistumista, joka säännöllisellä käytöllä ylläpitää ihon tasaista pintarakennetta, kimmoisuutta sekä valovoimaisuutta. Estää tehokkaasti ihon tukkeutumiseen johtavaa pintakuivuutta sekä hilseilyä"
Antibacterial Cleanser,120ml,"29,90€","Antibakteerinen ja kosteuttava puhdistusgeeli joka auttaa tehokkaasti vähentämään epäpuhtauksia sekä mustapäiden syntymistä. Virkistävä ja kevyesti vaahtoutuva koostumus syväpuhdistaa huokosia ja poistaa hellävaraisesti tukkeumia aiheuttavaa kuollutta ihosolukkoa, epäpuhtauksia ja aknea aiheuttavia p.acnes bakteereja, jättäen ihosi tuntumaan raikkaalta ja puhdistetulta. Täydellinen valinta etenkin silloin, kun ihoa vaivaavat satunnaiset epäpuhtaudet, talitukkeumat, mustapäät tai komedoakne"
Bacteriostat Cleanser,120ml,"29,90€","Antibakteerinen ja rauhoittava puhdistusgeeli erityisesti tulehtuneelle akneiholle, joka auttaa merkittävästi vähentämään märkänäppylöiden syntymistä. Kevyesti viilentävä puhdistusgeeli puhdistaa hellävaraisesti epäpuhtauksia, kuona-aineita ja aknea aiheuttavia p.acnes bakteereja, jättäen ihosi tuntumaan puhdistetun raikkaalta sekä rauhoitetulta. Täydellinen tulehtuneen aknen ja ruusufinnin hoitoon, sillä säännöllinen käyttö laskee ihon tulehdustiloja, kuumotusta sekä punoittavia leimahdusreaktioita"
Refreshing Toner,120ml,"31,20€","Tehonesteyttäjä ja kasvovesi yhdessä tuotteessa. Täysin alkoholiton koostumus on rikastettu ihoa uudistavilla vitamiineilla, aminohapoilla sekä luontaisilla kosteustekijöillä, jotka auttavat ylläpitämään ihon kosteustasapainoa sekä fysiologisia toimintoja. Rauhoittava, uudistava ja suojaava Refreshing Toner saa ihosi tuntumaan jälleen mehukkaan nesteytetyltä, joka auttaa maksimoimaan myös muiden hoitotuotteiden imeytymistä sekä tehoa"
Calming toner,120 ml,34€,"Ihoa nesteyttävä ja punoitusta rauhoittava kasvovesi yhdessä tuotteessa. Kehitetty erityisesti akneen, aknevaurioihin, ruusufinniin ja couperosaan taipuvaiselle iholle. Täysin alkoholiton koostumus on rikastettu anti-inflammatoorisilla aktiiveilla sekä uudistavilla vitamiineilla, aminohapoilla ja luontaisilla kosteustekijöillä, jotka auttavat ylläpitämään ihon kosteustasapainoa. Vain muutamalla suihkauksella ihosi tuntuu jälleen rauhoitetulta ja vähemmän punoittavalta"
Moisture Complex,65ml,"38,70€","Formuloitu erityisesti epäpuhtauksiin ja akneen taipuvaiselle ihotyypille. Tämä kevyt ja intensiivisesti kosteuttava emulsiovoide pitää ihosi tasapainossa, hyvinvoivana sekä rauhoitettuna. Tarkkaan yhdistetty sekoitus antibakteerisia ja antioksidanttisia kasviuutteita rauhoittavat ihoa sekä estävät uusien epäpuhtauksien muodostumista. Nopeasti imeytyvä kasvovoide kuljettaa ihoon korkean määrän nesteyttävää kosteutta, parantaa ihon puhtautta sekä vastustuskykyä, tasapainottaa talintuotantoa ja ehkäisee ihohuokosten tukkeutumista sekä laajenemista"
Titanium Dioxide Suncream SPF 35,60 ml,"38,90€","Täysin fysikaalinen sinkki - ja titaanidioksidi pohjainen (non-nano) päivävoide, joka suojaa ja samanaikaisesti kosteuttaa jopa herkintä ihotyyppiä - ilman iholle jäävää valkoista kalvoa. Voiteen samettisen sileä koostumus tarjoaa tehokkaan sekä laajavaikutteisen UVA / UVB-suojan, samalla suojaten ihoasi vapaiden radikaalien ja oksidatiivisen stressin aiheuttamilta vaurioilta. Täynnä fysikaalista suojaa tehostavia voimakkaita antioksidanttisia uutteita, edistämään ihon nuorekasta ilmettä. Voide sopii käytettäväksi myös herkästi tukkeutuvalle ja akneen taipuvaiselle ihotyypille"
Ultra Moisture Renewal,30 ml,"38,70€","Tämä silkkimäisen kevyt mutta intensiivisesti kosteuttava kasvovoide on pakattu täyteen ihoa uudistavia antioksidantteja, vitamiineja sekä nesteyttävää hyaluronihappoa. Syväkosteuttava ja ihon tasapainoista sävyä ylläpitävä kasvovoide palauttaa ihollesi välittömästi lisää täyteläisyyden, kimmoisuuden sekä kiinteyden tuntua, hälventäen samalla hienojen juonteiden muodostumista"
Bio-Essence Calcium Complex Day & Night,30 ml,"32,70€","Tämä ravitseva ja kosteuttava kasvovoide on kehitetty rauhoittamaan ja torjumaan herkän ihon yleisimpiä tunnusmerkkejä - ärsytystä, punoitusta, kuivuuden ja kiristyksen tunnetta sekä ihon luontaisen suojakerroksen heikentymistä, joka altistaa ihoa entisestään edellä mainituille herkkyystiloille. Voiteen neurosensorisesti vaikuttava kalsium rauhoittaa hetkessä ihon punoituksen, kuumotuksen ja epämukavan tunteen, rakentaen samalla iholle vahvempaa suojaa ulkoisia ärsykkeitä vastaan. Kehitetty päivä - ja yövoiteeksi"
